fight_id,fighter_id,round,knockdowns,strikes_att,strikes_succ,head_strikes_att,head_strikes_succ,body_strikes_att,body_strikes_succ,leg_strikes_att,leg_strikes_succ,distance_strikes_att,distance_strikes_succ,ground_strikes_att,ground_strikes_succ,clinch_strikes_att,clinch_strikes_succ,total_strikes_att,total_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
005723fb99440272,15b1b21cd743d652,1,0,33,15,26,10,7,5,0,0,33,15,0,0,0,0,33,15,4,0,0,0,0:00
005723fb99440272,15b1b21cd743d652,2,0,9,4,7,3,2,1,0,0,9,4,0,0,0,0,9,4,1,0,0,0,0:02
005723fb99440272,64a50dad704d1d49,1,0,71,37,32,7,19,15,20,15,71,37,0,0,0,0,71,37,0,0,0,0,0:00
005723fb99440272,64a50dad704d1d49,2,1,18,12,8,2,2,2,8,8,18,12,0,0,0,0,18,12,0,0,0,0,0:13
0064bbc554d85421,2650e2f846a30f64,1,0,5,2,2,0,3,2,0,0,5,2,0,0,0,0,8,5,0,0,2,0,0:00
0064bbc554d85421,5d7bdab5e03e3216,1,0,16,6,13,4,1,0,2,2,4,2,12,4,0,0,22,11,1,1,0,0,2:13
0067048aaa2aa2da,494b0bfdbac74502,1,0,17,4,15,3,1,1,1,0,11,3,5,0,1,1,41,25,2,0,0,1,2:19
0067048aaa2aa2da,494b0bfdbac74502,2,0,15,3,9,0,3,1,3,2,15,3,0,0,0,0,33,21,1,0,0,0,0:34
0067048aaa2aa2da,494b0bfdbac74502,3,0,18,8,11,4,4,2,3,2,15,6,0,0,3,2,47,28,0,0,0,0,0:23
0067048aaa2aa2da,7b310409440c9102,1,0,5,4,3,2,0,0,2,2,4,3,1,1,0,0,40,34,0,0,0,0,1:35
0067048aaa2aa2da,7b310409440c9102,2,0,18,9,9,2,7,5,2,2,11,3,1,1,6,5,52,38,3,1,1,0,3:20
0067048aaa2aa2da,7b310409440c9102,3,0,17,6,13,3,2,1,2,2,12,3,4,2,1,1,87,58,1,1,0,0,3:08
00684df5ed23e6ca,e64b96c07d7ce999,1,1,39,13,38,13,0,0,1,0,24,4,15,9,0,0,39,13,0,0,0,0,0:12
00684df5ed23e6ca,e9213f53ddeca978,1,0,16,6,14,5,2,1,0,0,16,6,0,0,0,0,16,6,0,0,0,0,0:00
0071c5d16e6e07f6,cb46dface0e28a2c,1,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,7,3,0,0,0,1,0:16
0071c5d16e6e07f6,cb46dface0e28a2c,2,0,13,6,13,6,0,0,0,0,4,0,9,6,0,0,41,31,0,0,0,0,0:42
0071c5d16e6e07f6,f59f1d3a2ff13edd,1,0,7,5,4,2,1,1,2,2,2,0,5,5,0,0,55,46,4,2,0,0,4:14
0071c5d16e6e07f6,f59f1d3a2ff13edd,2,0,2,1,2,1,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0:24
00720c46f864fe03,3bad7ef643840f67,1,0,33,15,31,13,2,2,0,0,19,4,1,0,13,11,38,20,0,0,0,0,0:32
00720c46f864fe03,3bad7ef643840f67,2,0,6,0,6,0,0,0,0,0,5,0,0,0,1,0,16,10,1,1,1,0,0:36
00720c46f864fe03,3bad7ef643840f67,3,0,23,5,21,4,2,1,0,0,22,4,0,0,1,1,32,14,1,0,0,0,0:29
00720c46f864fe03,bf43fed8f29e1671,1,0,27,6,22,5,2,0,3,1,22,5,0,0,5,1,30,9,1,1,0,0,2:32
00720c46f864fe03,bf43fed8f29e1671,2,0,10,2,9,2,1,0,0,0,6,2,2,0,2,0,19,8,2,2,0,0,3:38
00720c46f864fe03,bf43fed8f29e1671,3,0,41,15,39,13,2,2,0,0,38,13,1,0,2,2,41,15,2,2,0,0,2:01
