fight_id,event_id,referee,fighter_1,fighter_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,time_format,scores_1,scores_2
b70313eae7c24b27,1f9344211ca7fd60,Keith Peterson,ec23c1be628d8057,bbab3baf66128ae2,bbab3baf66128ae2,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),82,89
f10c2c84652ef573,1f9344211ca7fd60,Herb Dean,6aae253467e8f9ce,e90a2f22417af68e,e90a2f22417af68e,3,F,Light Heavyweight,M,KO/TKO,Knee to Head At Distance,3,0:44,3 Rnd (5-5-5),,
1b650c76387c0f4b,1fac46d466abd5b8,Gary Copeland,12f91bfa8f1f723b,e8b731feff72294b,e8b731feff72294b,3,F,Women's Flyweight,F,Submission,Rear Naked Choke,1,3:57,3 Rnd (5-5-5),,
3ecccdab76baa59c,1fac46d466abd5b8,Herb Dean,8e1f36476ef02a6a,34ff304266360297,34ff304266360297,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),81,90
3f92025b29e06bfd,1fac46d466abd5b8,Keith Peterson,84b3e7d38f2d2ec5,b0d6a1d8ac3d563d,84b3e7d38f2d2ec5,3,F,Welterweight,M,Decision,Split,3,5:00,3 Rnd (5-5-5),86,85
410e65e4d1782bfc,1fac46d466abd5b8,Chad Trukovich,b1d19449397541dc,853eb0dd5c0e2149,853eb0dd5c0e2149,3,F,Flyweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),84,87
6ed495c177d69a3a,1fac46d466abd5b8,Gary Copeland,7ab478c397cd68ef,0112352cb32f5026,7ab478c397cd68ef,3,F,Middleweight,M,Submission,Rear Naked Choke,2,1:58,3 Rnd (5-5-5),,
82b2b97b85c7225c,1fac46d466abd5b8,Chad Trukovich,1a31ef98efce7a79,9ada30894bf04e19,1a31ef98efce7a79,3,F,Flyweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),87,84
97e522591ac7eb29,1fac46d466abd5b8,Keith Peterson,12e0fdc606f7e274,0e5c4e72237461bb,12e0fdc606f7e274,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),87,84
bb31c77bddd1317e,1fac46d466abd5b8,Chad Trukovich,7be74a12d7352df2,351c4ec637380ad5,7be74a12d7352df2,3,F,Women's Bantamweight,F,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),87,84
c4e866d9dd606faa,1fac46d466abd5b8,Herb Dean,fa6796c55d6c5440,d0aaedcf7ccd0b45,fa6796c55d6c5440,5,F,Heavyweight,M,KO/TKO,Punch to Head At Distance,2,0:17,5 Rnd (5-5-5-5-5),,
d0b7a79d3e7f3362,1fac46d466abd5b8,Herb Dean,45f0cc9d18f35137,3b0a516d2921e0d6,45f0cc9d18f35137,3,F,Bantamweight,M,KO/TKO,Spinning Back Fist Head,2,2:34,3 Rnd (5-5-5),,
f3c37e23ca30c87d,1fac46d466abd5b8,Keith Peterson,31123249b0bbf52e,a331233f597090a5,a331233f597090a5,3,F,Welterweight,M,Decision,Split,3,5:00,3 Rnd (5-5-5),85,86
f6afaf2a39fa441c,1fac46d466abd5b8,Gary Copeland,32c355b04fc57f3a,19c591115a58982c,32c355b04fc57f3a,3,F,Lightweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),90,81
0c2a634606639d71,1fcfc3709fe58151,Raul Porrata,e51e5cb722bd47a8,3a12a2f096a6d975,e51e5cb722bd47a8,3,F,Light Heavyweight,M,KO/TKO,Punches to Head On Ground,2,2:28,3 Rnd (5-5-5),,
410e3163827d6d3b,1fcfc3709fe58151,Raul Porrata,af62f99eb7606308,5ef0088c1b19beeb,5ef0088c1b19beeb,3,F,Bantamweight,M,Submission,Rear Naked Choke,2,1:52,3 Rnd (5-5-5),,
5eb07bffdc8b7acf,1fcfc3709fe58151,Raul Porrata,53ec9cb470e1a4ea,33e00249ef08d3a4,53ec9cb470e1a4ea,3,F,Lightweight,M,KO/TKO,"Kick to Body From Back Control
      Verbal Submission",3,2:47,3 Rnd (5-5-5),,
6597b770486021b8,1fcfc3709fe58151,Mario Yamasaki,fb8a3025ae722e64,5431dccc09118234,5431dccc09118234,3,F,Welterweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),83,88
6eee347f75f223f0,1fcfc3709fe58151,Kevin Mulhall,3623bd267a2eef2e,de75d1c45a39e221,de75d1c45a39e221,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),84,87
6ff8fff0fe2a3cd9,1fcfc3709fe58151,Mario Yamasaki,5f04e3d58d9ce982,a3be148af5c7b088,a3be148af5c7b088,3,F,Lightweight,M,Submission,Rear Naked Choke,3,2:31,3 Rnd (5-5-5),,
753004dcc9c53eb6,1fcfc3709fe58151,Mario Yamasaki,2676b28836a5a836,9b7694d064a8a0ad,2676b28836a5a836,5,F,Lightweight,M,Submission,Rear Naked Choke,4,1:16,5 Rnd (5-5-5-5-5),,
8d7ea177efadc718,1fcfc3709fe58151,Kevin Mulhall,82e7929bf6c2b689,4f732e58ed907eff,82e7929bf6c2b689,3,F,Lightweight,M,Decision,Split,3,5:00,3 Rnd (5-5-5),86,85
b97d2f97d109cfc8,1fcfc3709fe58151,Kevin Mulhall,6a2f7c151031653d,e5d03e4d966126bd,6a2f7c151031653d,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2,3:36,3 Rnd (5-5-5),,
d02ac0447fb2a7a0,1fcfc3709fe58151,Kevin Mulhall,0b64d0fed453ef7f,8a9c6c4301f6d088,0b64d0fed453ef7f,3,F,Flyweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),88,83
dbc35626d0f0576b,1fcfc3709fe58151,Mario Yamasaki,99506df1af6c8b3b,92437c6775b3f7d1,99506df1af6c8b3b,3,F,Flyweight,M,TKO - Doctor's Stoppage,Nose Injury,2,5:00,3 Rnd (5-5-5),,
032a61c6f9439b1d,1ffc38f67785797b,Yves Lavigne,523fa774700d7d3f,aed06011bf62237b,523fa774700d7d3f,3,F,Middleweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),89,83
0f5f1f5828ebd9c5,1ffc38f67785797b,Myron Gaudet,960d6cae8879ba2b,e26882820f9e8df5,960d6cae8879ba2b,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),89,82
11141cf97c6156b6,1ffc38f67785797b,Dan Miragliotta,8f2939f5fd9cca1e,c0c36a5b3d5bbdd5,8f2939f5fd9cca1e,3,F,Welterweight,M,Submission,Triangle Choke On Ground,1,3:52,3 Rnd (5-5-5),,
1f70cf05ec46f065,1ffc38f67785797b,Kevin Mulhall,e56daf7725a0b5ab,ee624ee2a18f2a43,e56daf7725a0b5ab,3,F,Welterweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),87,84
1fa175b6a35e95e2,1ffc38f67785797b,Kevin Mulhall,fe435e440b5de0ff,d81ac739417d7f53,d81ac739417d7f53,3,F,Welterweight,M,KO/TKO,Knee to Head In Clinch,1,0:53,3 Rnd (5-5-5),,
35cfe0b894b93332,1ffc38f67785797b,Myron Gaudet,fbf0947399d14323,e6147d5ab3685899,fbf0947399d14323,3,F,Bantamweight,M,Submission,"Rear Naked Choke
      Technical Submission",1,2:40,3 Rnd (5-5-5),,
558b54d28a662cca,1ffc38f67785797b,Dan Miragliotta,d023ae89a2a4a41e,5431dccc09118234,5431dccc09118234,3,F,Welterweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),84,87
5dc4552c9288441a,1ffc38f67785797b,Yves Lavigne,7be63795363029e8,d403b1a6f278c95e,d403b1a6f278c95e,3,F,Lightweight,M,Submission,Rear Naked Choke,2,3:49,3 Rnd (5-5-5),,
a7fca585b4fd4255,1ffc38f67785797b,Dan Miragliotta,4130a743d9d22163,2be6596a9db33bf5,4130a743d9d22163,3,F,Middleweight,M,KO/TKO,"Punches to Head On Ground
      Submission to Strikes",1,3:48,3 Rnd (5-5-5),,
b4daedb1e0c4ee02,1ffc38f67785797b,Myron Gaudet,b0a6124751a56bc4,99bd87a300079ed9,99bd87a300079ed9,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),82,89
be5cdd4872fbd0b7,1ffc38f67785797b,Yves Lavigne,83a477a7dba1ca58,fd5b6598a3b70c0a,fd5b6598a3b70c0a,3,F,Welterweight,M,Submission,Rear Naked Choke,2,1:12,3 Rnd (5-5-5),,
fdc82a98c68588c4,1ffc38f67785797b,Kevin Mulhall,e5c9de15bb58b1c6,e2b8186b618b00c4,e5c9de15bb58b1c6,3,F,Lightweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),90,81
33116969380185a9,20821819c401ced8,Dan Miragliotta,efa1f6b42c86793c,ab943cd2c3c17825,ab943cd2c3c17825,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),81,90
