win,weight_diff,height_diff,reach_diff,age_diff,fighter_form_score,opponent_form_score,fighter_fight_no,opponent_fight_no,fighter_win_ratio,fighter_recent_win_ratio,opponent_win_ratio,opponent_recent_win_ratio,fighter_strikes_landed,fighter_strikes_attempted,fighter_strikes_accuracy,opponent_strikes_landed,opponent_strikes_attempted,opponent_strikes_accuracy,fighter_takedowns,fighter_takedown_accuracy,opponent_takedowns,opponent_takedown_accuracy,fighter_knockdowns,fighter_ko_ratio,opponent_knockdowns,opponent_ko_ratio,fighter_control_time,opponent_control_time
1,30.0,2.0,6.0,-2.4312114989733047,1.4000000000000001,-0.20000000000000007,12,4,1.0,1.0,0.3333333333333333,0.3333333333333333,35.0,54.5,0.6422018348623854,68.66666666666667,101.66666666666667,0.6754098360655738,2.25,0.9,1.6666666666666667,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0
1,0.0,1.0,-1.0,-7.518138261464749,-0.5,0.20000000000000007,4,5,0.0,0.0,0.6666666666666666,0.6666666666666666,4.0,24.0,0.16666666666666666,17.666666666666668,51.0,0.3464052287581699,5.0,1.0,1.6666666666666667,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0
1,25.0,3.0,2.0,0.4544832306639286,0.9,-0.09999999999999998,9,4,1.0,1.0,0.5,0.5,28.5,63.0,0.4523809523809524,9.0,22.5,0.4,0.0,0.0,1.0,0.3333333333333333,2.0,1.0,0.5,0.0,0.0,0.0
1,0.0,-1.0,-2.0,-0.544832306639286,0.5,0.9,7,3,1.0,1.0,1.0,1.0,22.0,30.0,0.7333333333333333,13.0,23.5,0.5531914893617021,2.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.0,0.0
1,20.0,-1.0,-3.0,-2.6365503080082107,0.5,0.9,5,4,1.0,1.0,1.0,1.0,11.0,20.0,0.55,66.5,153.5,0.43322475570032576,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0
1,10.0,1.0,0.0,2.631074606433952,0.09999999999999998,-0.5,5,4,0.5,0.5,0.0,0.0,5.5,17.0,0.3235294117647059,15.0,37.0,0.40540540540540543,3.5,0.875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-3.0,-8.0,3.2087611225188226,0.9,-0.19999999999999998,6,5,1.0,1.0,0.5,0.3333333333333333,74.0,146.5,0.5051194539249146,9.0,15.75,0.5714285714285714,0.0,0.0,1.0,0.4,0.5,0.5,0.0,0.5,0.0,0.0
1,20.0,1.0,1.0,-0.7939767282683121,-0.09999999999999998,-0.09999999999999998,4,4,0.5,0.5,0.5,0.5,43.0,102.0,0.4215686274509804,24.5,51.0,0.4803921568627451,3.5,0.4666666666666667,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0
1,0.0,3.0,5.0,0.6351813826146469,-0.7,-0.4,16,6,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,21.666666666666668,41.833333333333336,0.5179282868525896,16.333333333333332,40.666666666666664,0.4016393442622951,1.3333333333333333,0.25806451612903225,0.6666666666666666,0.1111111111111111,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0
1,-20.0,0.0,1.0,-8.197125256673509,0.9,0.20000000000000007,5,4,1.0,1.0,0.6666666666666666,0.6666666666666666,55.5,95.5,0.581151832460733,40.0,124.0,0.3225806451612903,9.0,0.782608695652174,6.0,0.45,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
1,0.0,0.0,-2.0,-1.0047912388774805,-0.5,-0.5,8,5,0.0,0.0,0.0,0.0,6.0,21.0,0.2857142857142857,64.0,97.0,0.6597938144329897,0.0,0.0,6.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
1,-20.0,2.0,2.0,1.7440109514031477,0.40000000000000013,-0.9,12,5,0.75,0.6666666666666666,0.0,0.0,46.75,111.75,0.41834451901565994,25.5,101.5,0.2512315270935961,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5,0.0,0.0
1,0.0,-1.0,0.0,0.522929500342233,0.09999999999999998,0.6,5,4,0.5,0.5,0.6666666666666666,0.6666666666666666,7.5,16.5,0.45454545454545453,6.0,18.0,0.3333333333333333,0.5,1.0,4.0,0.5714285714285714,1.0,0.5,0.0,0.0,0.0,0.0
